"Year"	"Age Adjusted Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
2007	0.08	0.09	0.01	NA	0	0
2008	0.09	0.09	0.01	NA	0	0
2009	0.09	0.09	0.01	NA	0	0
2010	0.09	0.09	0.01	NA	0	0
2011	0.10	0.09	0.01	NA	0	0
2012	0.09	0.10	0.01	NA	0	0
2013	0.10	0.10	0.01	NA	0	0
2014	0.09	0.10	0.01	NA	0	0
2015	0.11	0.10	0.01	NA	0	0
2016	0.10	0.10	0.01	NA	0	0
2017	0.11	0.11	0.01	NA	0	0
2018	0.10	0.11	0.01	NA	0	0
2019	0.11	0.11	0.01	NA	0	0
2020	0.11	0.11	0.01	NA	0	0
