"﻿Year"	"Crude Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
2007	0.10	0.10	0.01	NA	1	1
2008	0.10	0.10	0.01	NA	1	1
2009	0.11	0.11	0.01	NA	1	1
2010	0.12	0.12	0.01	Joinpoint 1	1	1
2011	0.12	0.12	0.01	NA	1	1
2012	0.11	0.12	0.01	NA	1	1
2013	0.14	0.13	0.01	NA	1	1
2014	0.12	0.13	0.01	NA	1	1
2015	0.14	0.13	0.01	NA	1	1
2016	0.14	0.14	0.01	NA	1	1
2017	0.15	0.14	0.01	NA	1	1
2018	0.14	0.15	0.01	NA	1	1
2019	0.16	0.15	0.01	NA	1	1
2020	0.15	0.15	0.01	NA	1	1
