"﻿Year"	"Crude Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
2007	0.47	0.55	0.05	NA	0	0
2008	0.57	0.56	0.05	NA	0	0
2009	0.54	0.57	0.05	NA	0	0
2010	0.54	0.58	0.05	NA	0	0
2011	0.70	0.58	0.06	NA	0	0
2012	0.54	0.59	0.05	NA	0	0
2013	0.64	0.60	0.05	NA	0	0
2014	0.55	0.61	0.05	NA	0	0
2015	0.71	0.62	0.05	NA	0	0
2016	0.66	0.63	0.05	NA	0	0
2017	0.61	0.64	0.05	NA	0	0
2018	0.61	0.65	0.04	NA	0	0
2019	0.72	0.66	0.05	NA	0	0
2020	0.57	0.67	0.04	NA	0	0
