"﻿Year"	"Crude Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
2007	0.13	0.14	0.01	NA	0	0
2008	0.14	0.14	0.01	NA	0	0
2009	0.14	0.15	0.01	NA	0	0
2010	0.15	0.15	0.01	NA	0	0
2011	0.16	0.16	0.01	NA	0	0
2012	0.15	0.16	0.01	NA	0	0
2013	0.18	0.17	0.01	NA	0	0
2014	0.17	0.17	0.01	NA	0	0
2015	0.19	0.18	0.01	NA	0	0
2016	0.19	0.18	0.01	NA	0	0
2017	0.18	0.19	0.01	NA	0	0
2018	0.18	0.19	0.01	NA	0	0
2019	0.21	0.20	0.01	NA	0	0
2020	0.19	0.21	0.01	NA	0	0
