"﻿Year"	"Crude Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
2013	0.06	0.06	0.01	NA	0	0
2014	0.06	0.06	0.01	NA	0	0
2015	0.06	0.06	0.01	NA	0	0
2016	0.05	0.06	0.01	NA	0	0
2017	0.07	0.06	0.01	NA	0	0
2018	0.06	0.06	0.01	NA	0	0
2019	0.07	0.06	0.01	NA	0	0
2020	0.06	0.06	0.01	NA	0	0
