"﻿Year"	"Crude Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
2007	0.33	0.27	0.03	NA	0	0
2008	0.24	0.28	0.03	NA	0	0
2009	0.23	0.28	0.03	NA	0	0
2010	0.31	0.29	0.03	NA	0	0
2011	0.30	0.29	0.03	NA	0	0
2012	0.27	0.30	0.03	NA	0	0
2013	0.33	0.30	0.03	NA	0	0
2014	0.30	0.31	0.03	NA	0	0
2015	0.32	0.31	0.03	NA	0	0
2016	0.32	0.32	0.03	NA	0	0
2017	0.33	0.32	0.03	NA	0	0
2018	0.29	0.33	0.03	NA	0	0
2019	0.33	0.33	0.03	NA	0	0
2020	0.37	0.34	0.03	NA	0	0
