"﻿Year"	"Crude Rate"	"Model"	"Standard Error"	"Flag"	"Joinpoints"	"Final Selected Model"
2007	0.40	0.47	0.06	NA	0	0
2008	0.57	0.48	0.07	NA	0	0
2009	0.55	0.48	0.06	NA	0	0
2010	0.49	0.49	0.06	NA	0	0
2011	0.38	0.50	0.05	NA	0	0
2012	0.44	0.50	0.06	NA	0	0
2013	0.56	0.51	0.06	NA	0	0
2014	0.49	0.52	0.06	NA	0	0
2015	0.54	0.52	0.06	NA	0	0
2016	0.54	0.53	0.06	NA	0	0
2017	0.52	0.54	0.06	NA	0	0
2018	0.53	0.55	0.06	NA	0	0
2019	0.58	0.55	0.06	NA	0	0
2020	0.57	0.56	0.06	NA	0	0
